Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"Great phone, as described.",06-Jul-18,Yes,"As advertised. Love the device, love the screen. I am very happy with my purchase.",0
,,,,,
5,Great phone and fast,07-Jun-18,Yes,Came on time and was everything it said in the description.,0
,,,,,
5,Five Stars,16-Jul-18,Yes,Excellent quality and functions as indicated.,0
,,,,,
5,Samsung unveiled its Beast S9 plus for 2018,22-Mar-18,Yes,"I have upgraded from s8 plus and I really see an improvement in the performance , especially camera, AR emoji and face detection features are awesome.",7
,,,,,
5,Five Stars,30-May-18,Yes,Just like new.. Awesome deal!!! Perfect condition.,0
,,,,,
5,Son loves it,21-Jul-18,Yes,Got this for my son's graduation. He is thrilled.,0
,,,,,
5,Five Stars,21-Apr-18,Yes,First android phone I'm actually keeping (instead of running back to iphone).,0
,,,,,
5,Excellent phone. Does scratch up fairly easily from drops ...,20-Jul-18,Yes,Excellent phone. Does scratch up fairly easily from drops - please get a case for yours along with the phone.,1
,,,,,
4,Four Stars,23-Apr-18,Yes,"Great phone, no offer for insurance",0
,,,,,
5,Perfect packaging and phone.,13-Jul-18,Yes,S9 in its best form.,0
,,,,,
5,Samsung Family,29-May-18,Yes,"Well worth it. I ordered one at first for myself, the ordered two more for my family.",0
,,,,,
5,I bought this certified used but its operating like it was bought brand new,14-Jun-18,Yes,I bought this certified used but its operating like it was bought brand new. When it came it had no visible wear-n-tear marks nor glitches. I'm very satisfied with this purchase.,0
,,,,,
5,Five Stars,09-May-18,Yes,I liked it graphic so good,0
,,,,,
5,Five Stars,07-May-18,Yes,The newest S9 is simply TERRIFIC! It works in Venezuela.,1
,,,,,
5,Five Stars,11-Jul-18,Yes,Love this phone.,0
,,,,,
5,the camera is WOWWWWW,20-Jun-18,Yes,excellent product,0
,,,,,
1,Defective phone shipped,17-Jul-18,Yes,Very disappointing. Stopped working on the 1st week. The screen went out.,1
,,,,,
5,Five Stars,18-Jul-18,Yes,Great phone,0
,,,,,
5,bt the Bixby button sucks.,01-Jun-18,Yes,Everything its advertised to be....bt the Bixby button sucks.,1
,,,,,
4,Very good phone,29-May-18,Yes,Best Samsung yet.,0
,,,,,
5,Five Stars,29-Jun-18,Yes,Love it and hope they replace mine withOUT DEADSPOTS AND ISSUES WITH WARRANTY AND RECOMMENDED INSURANCE.,0
,,,,,
5,"Love it, only thing is",16-May-18,Yes,"Love it, only thing is, wish it had just a bit more battery life, other than that no problems at all, got it to work with BOOST mobile too.",0
,,,,,
5,Cool !,12-May-18,Yes,Love my Samsung .,0
,,,,,
5,I will buy from this seller again,25-May-18,Yes,Fully unlocked,0
,,,,,
5,Five Stars,02-May-18,Yes,Love it Excelent,0
,,,,,
5,Flagship for many reasons,18-May-18,Yes,"Im the kind of user that jumps from iphone to android, convinced that Android offers a lot more but the problem lies in components with each manufacturer. I only buy flagship smartphones as Im a power user and I decided to give it a go with the impressive S9..Im extremely happy..Im not getting into details and specs, the internet is already loaded with them, I think the experiences is more valuable to you...The device is top notch,  Migrating from another android device or an iphone is extremely easy with the included adapter,  screen is wonderful, no surprise considering Samsung builds the iPhone X screen. Well obviously Samsung is the screen guru nowadays...Everything is great on this device, works much better than iphone in bluetooth connections, is extremely fast etc..UI is very good, and packed with options. Fast charging is impressive, 10 to 100 in 60 mins. And battery lasts all day with normal use...Cellular signal strenght is very good, wifi is very good, its wather proof, what else can you ask for?",1
,,,,,
5,Amazing phone,18-Jul-18,Yes,"FAST PHONE,great pictures, expandable memory and is splash proof. Very happy with my buy",1
,,,,,
5,Five Stars,02-Jul-18,Yes,Amazing phone!,1
,,,,,
5,and this phone is awesome.,05-May-18,Yes,"I've owned premium handsets since the early days of Android and even Palm, and this phone is awesome.",0
,,,,,
5,Perfect!,13-Jun-18,Yes,Exactly as described! Works perfectly with Cricket Wireless!,0
,,,,,
5,Five Stars,24-Apr-18,Yes,exellent,0
,,,,,
5,Luv my phone,15-Apr-18,Yes,Great phone luv it,0
,,,,,
2,Cannot hear unless the speaker is on,13-Jul-18,Yes,"A really good phone, neat features..The speaker is not working after about two weeks.",0
,,,,,
5,Five Stars,22-Apr-18,Yes,Terrific!,0
,,,,,
5,Five Stars,17-Apr-18,Yes,love it,0
,,,,,
5,Totally satisfied.,22-Jun-18,Yes,I upgrade s6 to s9. Totally satisfied.,1
,,,,,
5,Perfect!,29-May-18,Yes,Perfect!,0
,,,,,
5,RedPocket and T-mobile OK.,22-May-18,Yes,"Product absolutely new, it works well with RedPocket, and T-mobile. I haven't tried with another carriers.",0
,,,,,
5,This phone is amazing!,20-May-18,Yes,I thought I would have buyer's remorse. I do not. This phone is amazing!,0
,,,,,
5,Five Stars,19-May-18,Yes,As expected very good,0
,,,,,
5,The size and quality of the display is fantastic. The camera is as great as they said ...,12-May-18,Yes,No complaints yet. The size and quality of the display is fantastic. The camera is as great as they said it would be.,0
,,,,,
5,Five Stars,21-Jul-18,Yes,exelent,0
,,,,,
5,Five Stars,29-May-18,Yes,Excellent phone. Love the change in audio. FedEx did an amazing job in getting me the package on time.,0
,,,,,
5,Five Stars,12-Jun-18,Yes,Still working,0
,,,,,
5,Works with Sprint.,09-May-18,Yes,"Got the S9+ to work with Sprint. Took the phone to a Sprint store and the ""C"" SIM card out of the 3 in 1 BYOD SIM package worked. No issues so far. Phone works great and no issues with service.",0
,,,,,
5,The best phone,08-Jul-18,Yes,My fionce love Samsung.I love this phone,0
,,,,,
5,Five Stars,14-May-18,Yes,Just great,0
,,,,,
5,Five Stars,16-May-18,Yes,Quick service love it. No problems with activation.,0
,,,,,
5,Five Stars,23-Apr-18,Yes,Great phone,0
,,,,,
5,Five Stars,03-Jun-18,Yes,"Wonderful phone, excellent camera. Works great on the ATT network.  Fast!",0
,,,,,
5,Good product,11-Jul-18,Yes,It was a good deal. I honestly expected a bit more of the battery but since the phone has so many features (that can be turned off) it consumes a lot of energy. But the product in general fullfil my expectations and I'm happy with my purchase.,0
,,,,,
5,Best phone around.,23-Jun-18,Yes,I'm loving this phone,0
,,,,,
5,Five Stars,22-Apr-18,Yes,"Love the phone!.No issues at all, I had Verizon and switched to Family Mobile.",0
,,,,,
5,Nice phone,10-May-18,Yes,Nice phone. So many functionalities but haven't had time to get around to them,0
,,,,,
5,Five Stars,15-Apr-18,Yes,Wow I love it and the camera is best ever!!!,0
,,,,,
5,Five Stars,14-Apr-18,Yes,So far so good. Never thought I'd leave apple but Samsung has a better product.,1
,,,,,
5,so far so good the phone have been working perfectly,22-Apr-18,Yes,"Whats to say, so far so good the phone have been working perfectly, its my little companion.",0
,,,,,
5,Great phone.  Price was the same as buying direct from Samsung.,26-Apr-18,Yes,"Unlocked US version.  I simply swapped the SIM card from my iPhone to this one and ran Smart Switch.  Was up and running in under 30 minutes.. Beautiful screen and decent battery life.  Works on the Verizon CDMA network and the data speed is noticeably faster than my previous iPhone 7+ on the same network.  Earphones that came with it sound great as well, which is a plus.  I have gone back and forth between Android and iPhone over the years.  My last Android was a Galaxy S5+ which was an energy hog.  Given the power of this phone I find the battery life impressive.",2
,,,,,
5,Five Stars,15-May-18,Yes,Best phone,1
,,,,,
5,fantastic phone but the screen scratches so easily,29-Jun-18,Yes,fantastic phone but the screen scratches so easily. must get a screen protector. the white dome worked perfect and hid all the scratches.,0
,,,,,
5,I would recommend to family and friends.,05-Jun-18,Yes,I like everything about the phone. It is as advertised and had no problems with it.,0
,,,,,
4,Four Stars,17-May-18,Yes,Excellent device! I absolutely love the screen and how light it is. It isn't the most ergonomic though.,0
,,,,,
5,Five star!,25-May-18,Yes,Very nice! Perfect quality!,0
,,,,,
5,Best battery,02-Jul-18,Yes,Best phone yet,1
,,,,,
5,Awesome phone.,09-Jun-18,Yes,Arrived quickly and in perfect condition. Truly the best phone I've ever owned. Can't beat the quality and reliability of Galaxy phones.,0
,,,,,
5,Love this phone!,29-Apr-18,Yes,"Had a J3V, decided to move into the big girl arena and get an S9.  Did my research and figured I could do the work to replace my phone with my current carrier instead of paying them to do the work.  I had to have a friend of mine show me how to access the sim/micro sd card port.  Switched them out, turned on the phone.  It walked me through how to attach the included cable and attachment to my j3v.  Transferred and Bam! It works.  Went out to my carriers website and already show up.  No problems.  The only thing you can not do with your carrier (you should check with yours) is that you can not get insurance on a phone unless purchased through your carrier.  That being said, if I choose to get another phone, I will definitely be buying an unlocked one from here again.",1
,,,,,
5,Five Stars,13-Jul-18,Yes,The husband loves it and we got it at a deal,0
,,,,,
5,Very pleased,03-Jul-18,Yes,Definitely the best smartphone I've used in a while,1
,,,,,
5,Five Stars,11-May-18,Yes,happy nice phone,0
,,,,,
5,Perfect phone. Keep running the notch guy in the ...,25-May-18,Yes,Perfect phone.  Keep running the notch guy in the commercials lol.,0
,,,,,
5,From S8 to S9,26-May-18,Yes,"So far I have not seen a notable diffrence between the S8 and the S9..I have not tried the camera in dark places yet,  but honestly,  since a went from the S8 to the S9, i feel like im still using the S8..The S9 is working great no issues at all, i bought it unlocked and I'm using it with Cricket...I will post an uodate once i get to use it more.",8
,,,,,
5,Best phone as of 05/02/18.,02-May-18,Yes,"This is the best phone your money can buy. Perfect camera, Perfect processor, Perfect phone. 10x better than iPhone X.  I can not recommend the S9+ or Samsung enough! iPhone is for kids and old people. Samsung is for anyone who understands technology and doesn't try to fit in with the brands and images- but sets trends and knows they're cool.",8
,,,,,
5,Five Stars,15-May-18,Yes,It is a best Android phone ever. Period.,1
,,,,,
5,Great phone,23-Jul-18,Yes,Nice phone I really  like it haven't had any complaints,0
,,,,,
5,Five Stars,03-Jun-18,Yes,Absolutely Love this Phone!,0
,,,,,
5,Amazing! Really happy with the purchase!,26-Jun-18,Yes,Very nice cell phone!,0
,,,,,
5,Five Stars,11-Jul-18,Yes,Best phone I've ever owned so far!!!!,0
,,,,,
5,Five Stars,15-Apr-18,Yes,"Arrived earlier than expected, everything was included in the box, works 100%, everything thing it was said and expected to be. This phone is worth buying.",0
,,,,,
5,Only had this phone a few hours but been a ...,28-Mar-18,Yes,"Only had this phone a few hours but been a Samsung guy before (s3,s5active).  This phone is BEAST.  Zero lag and looks/ feels rich AF.",4
,,,,,
5,Nothing to complain,19-Jul-18,Yes,Loving the device!,0
,,,,,
5,Five Stars,28-Jun-18,Yes,One of the best smartphones!,0
,,,,,
5,Five Stars,12-May-18,Yes,Excelent product,0
,,,,,
5,CAMERA is Straight FIRREEE(bomb),03-Apr-18,Yes,"BOMB.COM..I upgraded from an S7 to the 9+ and I love it, its so many things you can do on this phone and I still don't know everything but for the most part I don't regret spending all this money on a phone and wait let me tell you this camera on this phone is straight FIREEEE, its so clear and I'm making my youtube videos with this as well. SAMSUNG YOU DID THIS",4
,,,,,
5,Fantastic,01-May-18,Yes,It's the best one handed phone ever.,0
,,,,,
5,very good,12-Jun-18,Yes,the best,0
,,,,,
5,Beautiful Phone!,01-Apr-18,Yes,"I upgraded from a S6 Edge+, and I'm a Samsung girl for life..This phone ran beautifully right from the get-go. It's not too bulky, I have no problems using it with one hand..The camera is awesome. I've been playing with it since I got it out of the box!.I'm still getting used to the new operating system and layout. I've been used to the Galaxy's home button, and the back and multi-screen buttons, so it's interesting adapting to a completely smooth device..Where the apps icon was on the home screen, is now the camera icon. If you're upgrading like I did, you have to flick upwards to get to the apps. But this is not, in any way, a downside..The speakers are great, and listening to music through earphones is awesome..I absolutely love this new phone! I definitely recommend this to anyone looking for a new phone!",7
,,,,,
5,First unlocked phone and everything i could ever ask for ...,23-Jun-18,Yes,First unlocked phone and everything i could ever ask for!  upgraded from a galaxy 5. Saved $100 over AT+T while having no bloatware.,0
,,,,,
5,Five Stars,12-Jun-18,Yes,Great phone simply said..I would definitely recommend it if you want an all around great phone!,0
,,,,,
5,I love my new phone,24-May-18,Yes,"I love my new phone, is better than I imagine. I bought it to use in Colombia and had no problem, completely unlocked. Recomended!",0
,,,,,
5,Best phone yet,19-May-18,Yes,I love this phone!!!!,0
,,,,,
4,Everything was great except the wired headphones that come with the phone ...,06-May-18,Yes,Everything was great except the wired headphones that come with the phone already stopped working after using them for the first time,0
,,,,,
5,Battery life and wireless charging is the absolute best,02-Jul-18,Yes,I have been an avid iPhone lover until this phone.,0
,,,,,
5,Five Stars,07-Jul-18,Yes,Phone has a bunch of Awesome functionality and has a nice modern look.,0
,,,,,
5,the S9 is definitely better in every aspect,23-Apr-18,Yes,"Moving up from the S6 Edge, the S9 is definitely better in every aspect.",0
,,,,,
5,Five Stars,24-May-18,Yes,Awesomeness,0
,,,,,
5,Five Stars,06-Jul-18,Yes,ok,0
,,,,,
5,Five Stars,20-Apr-18,Yes,I really like the phone. Had to replace old phone. Battery lasts pretty long.,0
,,,,,
5,Five Stars,10-Jul-18,Yes,Samsung Superior! IPhone inferior! Tears of happiness,0
,,,,,
5,Five Stars,28-May-18,Yes,COOL PHONE!!!,0
,,,,,
5,Be careful to select the right colour of the device.,25-May-18,Yes,Product was exactly as described. Love using this device!,0
,,,,,
5,Works great!,02-Jul-18,Yes,New ! Works great !,0
,,,,,
5,Five Stars,18-May-18,Yes,Low battery,0
,,,,,
5,Five Stars,08-May-18,Yes,"Great Phone, picture quality is amazing, good battery",0
,,,,,
5,S9,06-Jul-18,Yes,Great phone!,0
,,,,,
1,"The phone itself was fine but the description was misleading as #1 the ""US ...",19-Jun-18,Yes,"The battery life was shorter than a new phone. The phone itself was fine but the description was misleading as #1 the ""US Warranty"" stated in the title is void when reselling a used phone. It also states, ""Accessories may have cosmetic damage"" this was false as well because the original items were completely replaced by generic headphones and power cord. You will not receive what was promised unless you buy a new phone, which I had to do. I had to return this item, and am still waiting for my refund.",8
,,,,,
5,Love the fingerprint reader.,04-Jul-18,Yes,Best smartphone I've owned to date.,0
,,,,,
5,Five Stars,25-May-18,Yes,"Beautiful camera, super fast processor. Great phone.",0
,,,,,
5,Five Stars,23-Apr-18,Yes,I really like my unlocked S9 phone.,0
,,,,,
5,Five Stars,29-May-18,Yes,Very happy with the phone.,0
,,,,,
5,Everything I've been looking for in a phone.,14-Jun-18,Yes,"I'd like to start out by saying I've never had any of the previous galaxies, so I don't know how the S9+ companies to previous models. That saying, I absolutely love this phone. I recently switched to the Galaxy S9+ from the ZTE Axon 7 because of the limitations on that phone. The Axon 7 is a really good phone, and although it is an android, there are a lot of differences between that phone and Samsung Androids...The Galaxy S9+ has a great battery life, I charge it using the wireless fast charger in the morning before work and it will last all day through a 10 hour shift plus the gym. I like all the security features like the fingerprint scanner and face detection. It also has great memory and runs easily. I can do multiple things at a time and have multiple windows open and it's not a problem. The sound is also really good, I don't have to turn it up as loud to get the same quality music as with my old phone and the display for the screen is awesome. I take pictures and they look like they are in hd. By far one of my favorite features is the edge panel where you can put frequently used apps and contacts and such. I use that all the time...So far I have no complaints. I've been using this phone for about a month and I'm in love with it. Also buying it through Amazon using their store card and 24 month financing was a plus. That's the only way I could afford such a high price phone...I would definitely recommend this phone to someone else. I never rate anything 5 stars, but as of now the Galaxy S9+ is worth it.",0
,,,,,
5,Top cellphone in the marketplace,08-Apr-18,Yes,"After doing research on pros/cons of top 4 popular smartphones in the marketplace (including iPhone X, Sony XZ2, Huawei Mate 10 Pro, and S9+), i finally made the purchase decision and ordered S9+. I am satisfied with the phone. It provides several super powerful features to improve experience of daily usage..Only one improvement which Samsung could make is to seal product boxes to protect customer's experience of unboxing.",2
,,,,,
5,Awesome!!!!,06-Jul-18,Yes,Love every bit of it!!!!!!!!!,0
,,,,,
5,Five Stars,29-May-18,Yes,Works as advertised.,0
,,,,,
5,Five Stars,24-May-18,Yes,The phone is perfect  am wowed,0
,,,,,
3,Flawed software - Wait for an update ... !,06-Apr-18,Yes,"After years of not using Samsung's top-of-the-food-chain devices, I finally gave it a shot with the S9 Plus. Unfortunately, I had to return the device next day...THE GOOD:..Samsung still has excellent built quality and clever features that make their devices unique. I especially fell in love with the DeX feature. Being able to turn your phone into a fully functioning desktop computer is just cool and amazing. I first got introduced to this kind of feature on a Huawei Mate 10 Pro (which I also had to return for other reasons). Once I actually got exposed to the DeX, I knew I wanted it in my life...Samsung's displays are just amazing and unrivaled! I doubt I have to say more. :)..The camera was ok. For some reason, it didn't live up to the hype; at least not in my opinion. Compared to my Pixel 2 XL pictures, the ones taken with the Samsung were way too bright, sometimes over exposed, looked rather soft and lacked depth / details. In this days and age, that's nitpicking, I know. All top tier phones take great pictures. It doesn't matter which phone you get, every single one of them will take great pictures while letting you down in one or another department...THE ""DOESN'T MATTER MUCH BUT STILL ANNOYING"":..Samsung's launcher (user interface) has improved a lot. I still don't really care for it but I could at least have lived with it. I hate how all the settings have been moved around and how you have to search for them in spots where you would never have expected them. For instance WiFi Calling. Why is that in the settings of the phone app rather than under Network and Connectivity?..Pre-installed apps are just as annoying today as they were a few years back. Granted, this days, it isn't as much as it used to be but why not making them uninstallable rather than baking them into the OS? I know I can disable an app, however, I would prefer if it isn't there in the first place!..Samsung's need to duplicate virtually all and any of Google's services is, in my opinion, a waste of resources and it doesn't make their platform more attractive. Why do I need a Samsung Clock app that doesn't do any more than the default Android Clock app? Why do I need a Samsung Phone app where the default Android Phone app is just fine? Same goes for Samsung Mail, Samsung Calendar and a bunch more. If I could at least remove them and replace them with the stock Android apps, I would be more inclined to buy a Samsung phone...Bixby is a whole other story! From the get-go, I had no intention of using Samsung's assistant. Yet, here she was, right in my face. I could deactivate her on the home screen, however, there was no way of deactivating the assistant entirely. I remembered that the Bixby button (which I hit multiple times already by accident) could be deactivated. Yeah, sure! You first have to create a Samsung account, then configure Bixby just to be able to finally click on a settings icon in Bixby and deactivate the hardware button. I don't know who thought of this nonsense!..As mentioned, I would have been able to live with the above. Annoying (to me), yes, but I could live with it...THE BAD:..The most important thing on the phone simply doesn't work right: network reception! I got 1 to 0 bars of mobile reception where every other phone in the house got at least 3. I constantly lost network. Researching this problem online, I learnt that this has been an issue with all of Samsung's high end devices since the Oreo update. The forums across the globe are filled with user complaints. The German Samsung forum, for example, has 59 pages of users complaining about network reception issues on the S8, S8+, Note 8, S9 and S9+. This has been going on since February, it seems. Users state that their phones were fine with Android 7.x but since the Oreo update, everything is a mess...Strangely, this also affects WiFi calling, too. I wasn't able to place a single call without either fading out conversations or mute calls. There are a gazillion sites out there claiming to have the fix for this issues but none of them actually work. Samsung has yet to acknowledge the problem. Instead, they blame your network provider and make you hard reset your device. If that doesn't help, they will offer you to exchange your brand new device with a refurbished one under warranty - at least that's what they offered me! In between, Samsung issued an update to improve network stability but, looking around in the web, that didn't seem to have solved the problem...Regardless, a phone that can't even do the basic task of being a phone is useless to me, so, I returned mine.",22
,,,,,
5,Good battery,16-Jul-18,Yes,Good phone,0
,,,,,
5,Five Stars,12-May-18,Yes,Excelent! Thanks!,0
,,,,,
5,Five Stars,12-Apr-18,Yes,Excellent product. It has all the functions and great performance.,0
,,,,,
5,Five Stars,22-Apr-18,Yes,An excellent phone.,0
,,,,,
5,Best phone yet...,19-Apr-18,Yes,Go this phone to replace my s7. Got the 9plus and m loving the upgrade so far. Got it unlocked instead of buying it from straight talk. I still use straight talk and works wonders. I want sure what color I wanted blue is my favorite color but went with purple one fell for the color and not regretting it.,3
,,,,,
5,Five Stars,05-May-18,Yes,Fast and easy set up love it already!,0
,,,,,
5,Five Stars,13-Apr-18,Yes,"Great phone, loving it.",4
,,,,,
5,As close to perfect as any phone I have ever owned,16-May-18,Yes,"The large screen does not translate to a massive body - it is actually smaller than the LG G4 Stylus that I am upgrading from due to the thin bezels. Most of the Samsung bloatware is less insidious than I expected. It came properly packaged with all the standard accessories. I added a body case and a wireless charger. With all the cutting edge features, the great camera, and the sturdy build, this is as close to perfect as any phone I have ever owned.",1
,,,,,
5,Five Stars,01-Jun-18,Yes,Just perfect!,0
,,,,,
5,Great camera!,04-May-18,Yes,Writing review with it now...works as expected.,0
,,,,,
3,"Phone transfer non functional, features removed.",16-Jul-18,Yes,"Samsung has removed the built in android transfer option. Setting up this phone and transferring your data and settings is infuriating. Considering returning the phone as this is arduous. The promises from samsung that their smart switch application will work with any android 4.1 or later phone is plainly false as the application is incompatable with my android 7.0 phone..Bixby is an annoyance that should be completely removed; google assistant already does a better job..Overall, this phone is nothing but an infuriating attempt for samsung to enforce brand loyalty by making ti painful to move to or from a galaxy device.",0
,,,,,
5,"Excellent phone, take great pictures",27-May-18,Yes,"Excellent phone,  take great pictures",0
,,,,,
4,Cool phone,22-Jun-18,Yes,It works great,0
,,,,,
5,I love this phone and love android oreo,13-Apr-18,Yes,I love this phone and love android oreo! Received perfectly. Just received a US plug instead a France/Belgium one... But I had already three!! Thanks for everything. Works in french perfectly!,3
,,,,,
5,"Great battery life, camera. Excellent ergonomic design.",16-Apr-18,Yes,Best android smartphone.,0
,,,,,
5,Five Stars,04-May-18,Yes,I like all of it,0
,,,,,
5,Five Stars,11-Apr-18,Yes,I'm very happy with my new phone.,0
,,,,,
4,Sweet phone. Battery life is lackluster,20-Apr-18,Yes,Sweet phone. Battery life is lackluster... worse than my older S7 it replaced.  Go for the S9+ if buying a Samsung.,3
,,,,,
5,Five Stars,02-May-18,Yes,Verygood,0
,,,,,
5,Five Stars,24-Apr-18,Yes,Good phone,0
,,,,,
5,Five Stars,14-May-18,Yes,Amazing I love it,0
,,,,,
5,Five Stars,16-May-18,Yes,Excellent,0
,,,,,
5,Five Stars,23-Mar-18,Yes,The best Galaxy yet!!! You have to see it to believe it..... The coral blue is stunning!!!,4
,,,,,
5,Five Stars,20-Apr-18,Yes,It runs perfect,0
,,,,,
5,Five Stars,19-Apr-18,Yes,Nice phone,0
,,,,,
3,"Wow, it's fragile",21-Jun-18,Yes,"I like the size.  I like the image quality. I like its performance.  I like the way it looked, before.....I dont like how fragile the screen is..One drop from just waste height and the corner of the screen is scratched and cracked.  I see no way of getting it repaired or replaced by the seller on Amazon.  No durability warranty, I guess.",1
,,,,,
5,Worth it,18-Apr-18,Yes,"I. Love. It. I waited a week to get this and so far, it's been worth the wait. Ordered it new and that's the way it came.Such a smooth experience with any new phone and I'm hoping it doesn't get bogged down over time. Definitely a better choice than the $1,000+ new iPhone, for my budget.  Awesome camera and I'm still learning some of the features coming from a Motorola.",2
,,,,,
5,Better than expected!,21-Mar-18,Yes,"Coming over from a Nexus 6p and I'm starting to realize how outdated my phone really was. The screen on this phone is amazing. Camera is awesome, and the headphones that come with the box are surprisingly decent. The phone and its settings are very customizable.and that's something I really love. The resolution on the phone is absolutely beautiful. One of the best displays that I've ever seen. Battery.life is pretty good so far as well...Going to continue playing playing around with the phone and provide updates to whatever happens either positive or negative with my phone. But so far it's great!",16
,,,,,
4,Fantastic phone overall,30-May-18,Yes,Fantastic phone overall!! Fast Oreo 8.0 OS running. Best screen on the market by far! Very good camera and speakers! Good battery!.Cons: Phone call quality is horrible! I hope Samsung will improve this issue with an update as soon as possible. Bixby button sucks. Portrait mode  cam is not so good as iPhone X.,1
,,,,,
2,DOESN'T WORK LIKE A SUB ONE THOUSAND DOLLAR PHONE SHOULD.,06-Jul-18,Yes,"This is the worst top of the line samsung phone I have ever owned and how the heck you get any kind of replacement for this junk. restart on or 2 times a day because applications quit, screen flips out and goes where it wants instead of to the icon you press. Try to answer phone calls and you have to back out of all other screens and if you try to close all screens it shuts off the phone call. S9+ just plain sucks",1
,,,,,
5,Love this phone Its amazing Have been an iPhone fan ...,22-Apr-18,Yes,"Love this phone.Its amazing.Have been an iPhone fan and user for long long time .This phone is by far way ahead of iPhone. I was a little anxious tabout rying out this new phone I have never used a Samsung phone before, but withing two days I got a used to this phone.Its so easy to use. You can customize it it's got so many features..It even gives you hints while using it..The phone is just awesome. And for those who are concerned about app security all you have to do is modify the apps settings. you can controll the apps access to your content and your contacts also.when I think about the price compared to an iPhone x.Its so much more reasonably priced.This phone is way ahead of iPhone.I usually dont write reviews but this phone deserves my review.Try it, you will be amazed.It's an awesome phone.this phone is way ahead apple has a lot of work to do.Wish I could buy this phone for everyone I know.On a scale of 1 through 5.This phone deserves a 7 stars",0
,,,,,
3,Be careful buying this phone on Amazon vs. Samsung website..,15-Jun-18,Yes,"While the camera is amazing, I was disappointed with Samsung's promotion policy. While the seller was listed as Samsung, promotions on the actual Samsung website did not apply to purchases on Amazon..I also found Bixby difficult to use. Google Siri is VERY simple in comparison",2
,,,,,
1,DON'T BUY. Useless battery. Stay away!!!!!!,27-Jun-18,Yes,"DON'T BUY THIS PHONE!!! Samsung S9 has a useless battery. I can literally see the battery life decreasing right before my eyes. It doesn't last a full 8-5 normal use. That's without any use of videos and Spotify. The phone is fast, amazingly fast. But not worth the money. Def, not worth it..A phone must be able to go through a day without running out of battery. And that's cos I disabled important features, like face and iris recognition..Terrible. If I were you, i'd stay away from it.",5
,,,,,
5,Worth every cent!,24-Mar-18,Yes,"I absolutely love my new phone. Samsung hit it out of the park with the S9+. It has every feature, detail, options, and specifics that you could possibly want. When considering whether to purchase this phone, I researched all of the other top rated phones. I truly feel this is the best phone available at this time. Yes, the downfall may be the price. But, I truly believe in the saying, ""You get what you pay for."" The price I paid through Amazon was AT LEAST $50-100 US dollars cheaper than anywhere else. The wrap around full-screen is phenomenal. The camera capability is so good that I don't need to take a separate camera with me any longer. If you have the money, GET IT!!!",14
,,,,,
5,I love my new phone,05-Apr-18,Yes,"I love my new phone. It is the right size and easy to handle for my smaller hands. I enjoy using the ""swipe"" feature on this phone as it can be done with one hand. The phone is very responsive. I haven't had it long enough to learn all the features, but so far, it has worked wonderfully and met my expectations.",1
,,,,,
1,DO NOT BUY THIS IF YOU'RE PLANNING ON USING ABROAD,04-Jul-18,Yes,"I got this phone last month to replace my old iPhone, as I was tired of Apple for a variety of reasons. I was impressed with the picture quality and, reading the reviews, I convinced myself to switch to the Gallaxy S9. When I first received it, I loved it - and this would be a very different review if I wrote it then. But I live in Europe and soon the problems started to show. No Samsung Pay - at all. I checked everywhere and no one has an answer on how to fix that. Then the camera started freezing. It wouldn't go from selfie to portrait nor from camera to gallery without needing a restart. I now just left Samsung's flagship shop in London to find out what to do. Turns out my ONLY choice is to send it back to America and hope for the best. So if you live abroad, know certain features on your phone just will not work and if you ever need assistance, you flat out won't get it.",4
,,,,,
5,I love this phone,28-Mar-18,Yes,Samsung galaxy s9+ unlocked can work with Claro PR but for the Internet you have to change or add the APN to use it. I love this phone!,2
,,,,,
5,Love the new phone,23-Mar-18,Yes,Love the new phone. Been with the galaxy series since #3. I am with straight talk and this phone is an unlocked samsung so you have to buy a bring your own sim kit which is then bucks and change transfer was quick and easy. Phone works great.,10
,,,,,
5,... it as a gift to my sister and she love him!,05-Apr-18,Yes,I bought it as a gift to my sister and she love him!,1
,,,,,
5,GREAT BUNDLE! DELIVERED FAST,20-Apr-18,Yes,GREAT BUNDLE!.DELIVERED FAST. BEAUTIFUL PURPLE!!! LOVE IT!,1
,,,,,
5,Phone worth purchasing upgraded from the s5 model,21-Mar-18,Yes,"I upgraded from the s5, and I can tell you that the phone is the best phone on the market currently. I've been a loyal Samsung customer for years, and when I hold a phone for long term use I really keep it until something is worth purchasing. Where the iPhone lacks the S9 Plus makes up for. The Ram, expandable storage option of 400 GB's, and beautiful display, &amp; somewhat ok price(the more advance the more expensive technology will be) places the phone already ahead of many phone companies. Samsung truly improved upon the phone, and I can say I'm satisfied.",20
,,,,,
1,Battery is awful,19-May-18,Yes,This phone is pretty fast and can play any app on the market but not even after a month and the phone can hardly hold a charge. Can't even last a day. Once again an overpriced next step in the Samsung lineup,10
,,,,,
5,Perfect Bundle! all you need is there,28-Apr-18,Yes,"Perfect Bundle! all you need is there, I love the quality for the product and presentation. It's working great for a local mobile company in Argentina.",0
,,,,,
